Id;Designator;Footprint;Quantity;Designation;Supplier and ref
1;C27,C22,C19,C29,C28,C18,C21,C9,C3,C5,C25,C15,C23,C20,C24,C30,C26;C_Disc_D10.5mm_W5.0mm_P5.00mm;17;100nF;
2;USB0;ABX00028;1;ABX00028;
3;R17,R16,R18,R15;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;4;470R;
4;CAN_L1,CAN_R1;MOLEX_5015680207;2;5015680207;
5;D2;D_DO-201AD_P15.24mm_Horizontal;1;1N5400;
6;R11,R12;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;120R;
7;U10;MODULE_DEV-16771;1;DEV-16771;
8;XT30UPB-F6,XT30UPB-F4,XT30UPB-F5,XT30UPB-F2,XT30UPB-F7;XT30UPB-F;5;L_0;
9;J1;PinHeader_1x07_P2.54mm_Vertical;1;Conn_01x07_Pin;
10;C1;CP_Radial_D10.0mm_P5.00mm;1;C_Polarized_US;
11;R1,R2;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;10R;
12;LEFT_LC_CONN1,RIGHT_LC_CONN1;PinHeader_2x04_P2.54mm_Vertical;2;CONN_04X2;
13;J5,J6,J3,J4;PinHeader_1x02_P2.54mm_Vertical;4;Conn_01x02_Pin;
14;C4;C_Disc_D10.5mm_W5.0mm_P5.00mm;1;0.33uF;
15;J2;PinHeader_1x04_P2.54mm_Vertical;1;Conn_01x04_Pin;
16;SHUNT0;STA_CSNL2512(2)_STP;1;2mOhm;
17;PS1;P78E05-1000;1;P78E05-1000;
18;J7;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03_Pin;
19;U$6;FUSE_LITTEL_448;1;0458002.DR;
20;U6,U4,U3,U7;D16;4;INA125U;
21;U1;SOIC_QPWRQ1_TEX;1;TXU0104PWR;
22;U5;SOIC127P599X175-8N;1;SN65HVD230DR;
23;U2;PW14_TXU0304-Q1_TEX;1;TXU0304-Q1;
24;INA219;D8_TEX;1;~;
