"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","C_Polarized_US","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","1","","",""
"C2,C6,C7,C8","0.1uF","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","~","4","","",""
"C3,C5,C9,C15,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","100nF","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","","17","","",""
"C4","0.33uF","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","","1","","",""
"C10,C11,C12,C13","100nF","","~","4","","",""
"C14,C16,C17,C31","1uF","","~","4","","",""
"CAN_L1,CAN_R1","5015680207","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:MOLEX_5015680207","","2","","",""
"D1,D3,D4,D5","BAT54S","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","4","","",""
"D2","1N5400","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf","1","","",""
"INA219","~","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:D8_TEX","","1","","",""
"J1","Conn_01x07_Pin","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","1","","",""
"J2","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","1","","",""
"J3,J4,J5,J6","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","4","","",""
"J7","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","1","","",""
"JP1,JP2,JP3,JP4,JP5,JP8,JP9,JP10","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~","8","","Excluded from BOM",""
"JP6,JP7","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","~","2","","Excluded from BOM",""
"LEFT_LC_CONN1,RIGHT_LC_CONN1","CONN_04X2","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","","2","","",""
"PS1","P78E05-1000","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:P78E05-1000","","1","","",""
"R1,R2","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","2","","",""
"R3,R4,R5,R6","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","4","","",""
"R11,R12","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","2","","",""
"R15,R16,R17,R18","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","4","","",""
"SHUNT0","2mOhm","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:STA_CSNL2512(2)_STP","","1","","",""
"U$6","0458002.DR","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:FUSE_LITTEL_448","","1","","",""
"U1","TXU0104PWR","TXU0104:SOIC_QPWRQ1_TEX","","1","","",""
"U2","TXU0304-Q1","TXU0304:PW14_TXU0304-Q1_TEX","TXU0304-Q1","1","","",""
"U3,U4,U6,U7","INA125U","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:D16","","4","","",""
"U5","SN65HVD230DR","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:SOIC127P599X175-8N","","1","","",""
"U10","DEV-16771","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:MODULE_DEV-16771","","1","","",""
"USB0","ABX00028","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:ABX00028","","1","","",""
"XT30UPB-F2,XT30UPB-F4,XT30UPB-F5,XT30UPB-F6,XT30UPB-F7","L_0","TMotor_Rev0_5_1_Mark_2_NAU_OpenExo:XT30UPB-F","","5","","",""
