Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_Every_Socket,1,Arduino_Nano_33_BLE_Sense_R2_Socket,
"C1, C17, C2, C22, C3, C4, C6, C7",0805,8,0.1uF,
"C10, C11",0805,2,22uF,
"C12, C13, C14, C16, C18, C19, C21, C23, C24, C26, C28, C29, C31, C5",0805,14,100nF,
"C15, C20, C25, C30",0805,4,1uF,
"C27, C32, C33, C34, C35, C36, C37, C38, C39, C40",0805,10,10nF,
C8,CP_Radial_D10.0mm_P5.00mm,1,C_Polarized_US,
C9,0805,1,0.33uF,
"CAN_L1, CAN_R1",MOLEX_5015680207,2,5015680207,
D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5400,
"D10, D7, D8, D9",P200_SOT-23,4,BAS70-04,
"D2, D3",0805,2,LED,
"J10, J11, J7, J8, J9",AMASS_XT30U-F_1x02_P5.0mm_Vertical,5,XT30PW-F,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J4, J5",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"LEFT_LC_CONN1, RIGHT_LC_CONN1, RIGHT_LC_CONN2",SAMTEC_TFM-107-01-L-D-WT,3,TFM-107-01-L-D-WT,
"R1, R4",0805,2,120R,
"R10, R14, R18, R22, R23, R24, R25, R31, R32, R5, R6",0805,11,1k,
"R11, R15, R19, R7",0805,4,50,
"R12, R13, R16, R17, R20, R21, R8, R9",0805,8,100k,
"R2, R3",0805,2,10,
R26,0805,1,470,
"R27, R28",0805,2,3.3k,
"R29, R30",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
SHUNT1,STA_CSNL2512(2)_STP,1,2mOhm,
"TP1, TP2",TestPoint_Keystone_5000-5004_Miniature,2,TestPoint,
U$1,FUSE_LITTEL_448,1,0458002.DR,
"U1, U2, U3, U4",D16,4,INA125U,
U10,SOT_32AIDDFR_TEX,1,INA232AIDDFR,
U5,SOIC_QPWRQ1_TEX,1,TXU0104PWR,
U6,PW14_TXU0304-Q1_TEX,1,TXU0304-Q1,
U7,MODULE_DEV-16771,1,DEV-16771,
U8,SOIC127P599X175-8N,1,SN65HVD230DR,
U9,WPME-FDSM_17301XX35,1,WPME-FDSM_SIP-3,
