Designator,Mid X,Mid Y,Rotation,Layer
C1,179.1,-107.775,0.0,top
C15,157.2,-115.675,270.0,top
C18,115.14506,-139.72503,180.0,top
C19,160.13494,-124.80242,0.0,top
C2,118.33,-106.55,90.0,top
C20,148.70494,-70.485,0.0,top
C21,136.29997,-139.54261,90.0,top
C22,139.77497,-139.670059,90.0,top
C23,105.22,-133.485386,270.0,top
C24,159.954941,-139.29997,0.0,top
C25,160.205,-135.53245,0.0,top
C26,117.21,-71.615,180.0,top
C27,159.329941,-73.22497,0.0,top
C28,137.52503,-74.329941,270.0,top
C29,159.15,-78.485,0.0,top
C3,151.70003,-108.779941,270.0,top
C30,140.979881,-67.13497,0.0,top
C4,169.08,-111.799614,90.0,top
C5,155.18497,-93.545119,90.0,top
C6,123.95,-106.35,90.0,top
C7,116.525,-118.61,90.0,top
C8,124.655,-125.78,90.0,top
C9,162.75,-90.725,90.0,top
CAN_L1,168.4,-139.775,0.0,top
CAN_R1,169.875,-68.65,180.0,top
D1,118.925,-130.5125,270.0,top
D2,167.875,-96.625,90.0,top
D3,105.9,-126.6625,180.0,top
D4,139.27,-102.9975,270.0,top
D5,120.5875,-90.45,0.0,bottom
D6,144.33,-130.44,180.0,top
INA219,155.875,-103.5,90.0,bottom
J1,106.975,-114.545,0.0,top
J10_2,184.17,-119.56,270.0,top
J10,112.7,-104.32,180.0,top
J11,182.01,-138.77,270.0,top
J12,189.33,-138.81,270.0,top
J13,133.09,-105.76,180.0,top
J14,148.31,-105.76,180.0,top
J16,127.99,-104.29,180.0,top
J2,106.875,-98.41,0.0,top
J3,106.875,-86.82,180.0,top
J4,137.795,-130.05,270.0,top
J5,105.47,-141.42,180.0,top
J6,106.675,-78.595,0.0,top
J7,175.475,-79.39,0.0,top
J8,189.46,-71.13,270.0,top
J9,182.55,-71.11,270.0,top
LEFT_LC_CONN1,149.19,-140.32,270.0,top
PS1,161.3,-114.385,270.0,top
R1,162.875,-101.955,270.0,top
R11,170.65,-128.23,270.0,top
R12,163.28,-82.175,0.0,top
R15,122.475,-138.425,90.0,top
R16,153.205,-130.40245,90.0,top
R17,142.08,-75.49755,90.0,top
R18,134.3,-71.63,270.0,top
R19,114.17,-143.0,180.0,top
R2,159.85,-95.25,90.0,top
R20,144.69,-121.22,90.0,top
R21,152.34,-89.34,270.0,top
R22,109.85,-68.7,180.0,top
R23,158.91,-145.0,0.0,top
R24,141.29,-121.14,90.0,top
R25,143.22,-93.32,270.0,top
R26,109.85,-65.64,180.0,top
R3,145.375,-133.325,180.0,top
R4,109.35,-131.375,90.0,top
R5,140.1,-93.35,270.0,top
R6,122.35,-81.05,270.0,top
R7,143.13,-106.31,90.0,top
RIGHT_LC_CONN1,159.91,-68.595,90.0,top
SHUNT0,156.45,-102.4,90.0,top
TP1,136.23,-88.94,0.0,top
TP2,136.75,-97.21,0.0,top
U$6,153.425,-118.575,270.0,top
U1,121.348251,-118.425,0.0,bottom
U10,120.3475,-104.31,90.0,top
U2,121.348251,-112.500001,0.0,bottom
U3,129.435,-140.1722,90.0,bottom
U4,148.825,-75.98535,90.0,bottom
U5,140.075,-93.225,180.0,bottom
U6,159.905,-130.1628,90.0,bottom
U7,127.47,-69.5378,270.0,bottom
USB0,140.7,-105.765,90.0,top
