"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U7";"MODULE_DEV-16771";1;"DEV-16771";;;
2;"C24,C26,C29,C19,C23,C28,C13,C31,C21,C7,C6,C16,C18,C5,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"100nF";;;
3;"C38,C37,C33,C34,C32,C35,C39,C36";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"10nF";;;
4;"RIGHT_LC_CONN1,LEFT_LC_CONN1,RIGHT_LC_CONN2";"SAMTEC_TFM-107-01-L-D-WT";3;"TFM-107-01-L-D-WT";;;
5;"CAN_L1,CAN_R1";"MOLEX_5015680207";2;"5015680207";;;
6;"D1";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5400";;;
7;"R4,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"120R";;;
8;"R21,R16,R13,R17,R20,R8,R9,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"100k";;;
9;"C8";"CP_Radial_D10.0mm_P5.00mm";1;"C_Polarized_US";;;
10;"J4,J3,J5";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02_Pin";;;
11;"A1";"Arduino_Nano_Every_Socket";1;"Arduino_Nano_33_BLE_Sense_R2_Socket";;;
12;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
13;"D10,D8,D9,D7";"P200_SOT-23";4;"BAS70-04";;;
14;"SHUNT1";"STA_CSNL2512(2)_STP";1;"2mOhm";;;
15;"TP2,TP1";"TestPoint_Keystone_5000-5004_Miniature";2;"TestPoint";;;
16;"U9";"WPME-FDSM_17301XX35";1;"WPME-FDSM_SIP-3";;;
17;"R23,R6,R14,R18,R10,R25,R22,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"1k";;;
18;"J9,J11,J10,J8,J7";"AMASS_XT30U-F_1x02_P5.0mm_Vertical";5;"XT30PW-F";;;
19;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
20;"C15,C25,C30,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
21;"D2";"LED_0805_2012Metric";1;"LED";;;
22;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"600kR";;;
23;"U$1";"FUSE_LITTEL_448";1;"0458002.DR";;;
24;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10";;;
25;"R11,R15,R7,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"50";;;
26;"C10,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
27;"U2,U4,U1,U3";"D16";4;"INA125U";;;
28;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10R";;;
29;"C4,C2,C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uF";;;
30;"U5";"SOIC_QPWRQ1_TEX";1;"TXU0104PWR";;;
31;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.33uF";;;
32;"U8";"SOIC127P599X175-8N";1;"SN65HVD230DR";;;
33;"U6";"PW14_TXU0304-Q1_TEX";1;"TXU0304-Q1";;;
34;"INA1";"D8_TEX";1;"~";;;
