Designator,Mid X,Mid Y,Rotation,Layer
A1,140.73,-105.8,0.0,top
C1,123.4725,-116.75,0.0,bottom
C10,164.3875,-116.95,180.0,bottom
C11,164.3525,-114.66,180.0,bottom
C12,138.53,-90.9375,90.0,top
C13,162.38,-132.4675,90.0,top
C14,153.6325,-137.16,0.0,bottom
C15,161.9875,-136.41,180.0,top
C16,158.0075,-137.16,180.0,bottom
C17,160.25,-104.4575,90.0,bottom
C18,133.7875,-139.38,0.0,bottom
C19,147.54,-139.6275,270.0,top
C2,118.7625,-116.73,180.0,bottom
C20,134.98,-136.3725,90.0,bottom
C21,142.49,-134.3825,90.0,bottom
C22,166.43,-75.9725,270.0,top
C23,143.3325,-73.7,180.0,top
C24,153.3975,-76.0,0.0,top
C25,145.41,-70.7225,90.0,top
C26,150.78,-71.0575,90.0,top
C27,121.0525,-85.51,180.0,top
C28,124.04,-65.8875,90.0,top
C29,130.7175,-69.42,180.0,top
C3,124.38,-107.8125,270.0,bottom
C30,121.85,-65.8675,90.0,top
C31,132.5675,-65.67,0.0,top
C32,152.26,-127.0675,90.0,top
C33,143.8925,-111.69,0.0,top
C34,141.1925,-104.82,0.0,top
C35,144.71,-99.5075,90.0,top
C36,155.2725,-124.0,0.0,bottom
C37,143.8675,-109.48,0.0,top
C38,142.55,-99.4025,270.0,top
C39,144.3625,-95.53,0.0,top
C4,118.31,-107.7225,270.0,bottom
C40,121.2025,-83.53,0.0,top
C5,105.43,-134.8625,270.0,bottom
C6,163.33,-75.8925,270.0,top
C7,163.24,-99.5225,270.0,bottom
C8,159.64,-91.66,180.0,top
C9,164.3725,-110.41,0.0,bottom
CAN_L1,168.4,-139.775,0.0,top
CAN_R1,171.65,-68.435,180.0,top
D1,167.875,-96.625,90.0,top
D10,152.72,-97.58,270.0,top
D2,126.7,-141.3525,90.0,top
D3,122.01,-141.38,90.0,top
D7,143.83,-117.02,180.0,bottom
D8,150.87,-113.42,90.0,top
D9,151.08,-108.46,90.0,top
J10,189.31,-138.84,270.0,top
J11,181.98,-138.82,270.0,top
J2,106.875,-98.41,0.0,top
J3,106.675,-78.595,0.0,top
J4,106.14,-141.445,180.0,top
J5,106.875,-86.82,180.0,top
J6,175.475,-79.39,0.0,top
J7,182.43,-71.08,270.0,top
J8,189.51,-71.14,270.0,top
J9,184.12,-119.64,270.0,top
LEFT_LC_CONN1,156.9,-142.925,0.0,top
R1,159.16,-82.84,270.0,bottom
R10,139.66,-131.11,180.0,bottom
R11,145.465,-140.9,270.0,top
R12,144.77,-132.5,90.0,bottom
R13,147.63,-144.1,270.0,top
R14,142.47,-84.2,270.0,bottom
R15,156.04,-75.92,270.0,bottom
R16,148.73,-69.41,90.0,top
R17,156.98,-72.81,0.0,top
R18,123.12,-78.46,270.0,bottom
R19,134.44,-69.47,270.0,bottom
R2,163.52,-102.85,180.0,bottom
R20,137.6,-66.08,0.0,top
R21,137.63,-69.53,0.0,top
R22,159.46,-124.05,0.0,bottom
R23,133.79,-131.9,90.0,top
R24,140.4,-84.16,270.0,bottom
R25,125.35,-78.92,270.0,bottom
R26,121.99,-137.73,270.0,top
R27,151.83,-102.68,180.0,bottom
R28,151.82,-104.81,180.0,bottom
R29,163.33,-76.15,270.0,top
R3,160.6,-99.64,90.0,top
R30,166.42,-76.11,270.0,top
R31,125.87,-86.76,90.0,bottom
R32,123.89,-85.08,90.0,bottom
R4,171.58,-122.64,0.0,top
R5,126.68,-137.13,270.0,top
R6,155.25,-126.59,180.0,top
R7,151.905,-131.615,90.0,bottom
R8,162.13,-138.62,180.0,bottom
R9,150.45,-136.48,90.0,bottom
RIGHT_LC_CONN1,160.04,-67.565,0.0,top
RIGHT_LC_CONN2,106.84,-114.54,90.0,top
SHUNT1,156.45,-102.4,90.0,top
TP1,136.75,-97.21,0.0,top
TP2,136.12,-88.42,0.0,top
U$1,153.425,-118.575,270.0,top
U1,140.9,-140.8078,270.0,bottom
U10,156.43285,-102.414993,0.0,bottom
U2,158.45,-131.6678,90.0,bottom
U3,127.47,-69.5378,270.0,bottom
U4,149.195,-76.1278,270.0,bottom
U5,121.55725,-120.67,0.0,bottom
U6,121.348251,-112.500001,0.0,bottom
U7,120.19,-104.45,90.0,top
U8,140.075,-93.225,180.0,bottom
U9,161.34,-112.95,270.0,top
