time_us,left_1,left_2,right_1,right_2,encoder_left,encoder_right,left_command_torque,right_command_torque,left_motor_position,left_motor_velocity,left_motor_torque,left_motor_temperature,left_motor_error,right_motor_position,right_motor_velocity,right_motor_torque,right_motor_temperature,right_motor_error
9090348,0.3504,0.5767,-0.3966,0.4477,0.0000,0.0000,0.0000,0.0000,0.3435,-0.1648,-0.0037,61,0,0.0000,0.0000,0.0000,0,0
9093855,0.3504,0.5767,-0.3966,0.4477,0.0000,0.0000,0.0055,0.0000,0.3435,-0.1648,-0.0037,61,0,0.0000,0.0000,0.0000,0,0
9095156,0.3504,0.5767,-0.3966,0.4477,0.0000,0.0000,0.0076,0.0000,0.3435,-0.0989,-0.0037,61,0,0.0000,0.0000,0.0000,0,0
9097058,0.3504,0.5767,-0.3966,0.4477,0.0000,0.0000,0.0105,0.0000,0.3435,-0.0989,-0.0037,61,0,0.0000,0.0000,0.0000,0,0
9098705,-0.1363,0.5767,-0.6400,0.4477,0.0000,0.0000,0.0131,0.0000,0.3435,-0.0989,-0.0037,61,0,1.1885,0.0330,-0.0037,61,0
9101568,-0.1363,0.5767,-0.6400,0.4477,0.0000,0.0000,0.0176,0.0000,0.3435,-0.0989,-0.0037,61,0,1.1885,-0.0330,-0.0037,61,0
9104519,-0.1363,0.5767,-0.6400,0.4477,0.0000,0.0000,0.0223,0.0000,0.3435,-0.0769,0.0037,61,0,1.1889,0.0110,-0.0037,61,0
9113701,0.5937,0.5767,0.3334,0.9344,0.0000,0.0000,0.0367,0.0000,0.3435,-0.0769,0.0037,61,0,1.1889,0.0110,-0.0037,61,0
9115348,0.5937,0.5767,0.3334,0.9344,0.0000,0.0000,0.0392,0.0000,0.3435,-0.1429,0.0110,61,0,1.1889,0.0110,-0.0037,61,0
9119507,0.5937,0.5767,0.3334,0.9344,0.0000,0.0000,0.0457,0.0000,0.3435,-0.1429,0.0110,61,0,1.1889,0.0110,-0.0037,61,0
9121154,0.5937,0.5767,0.3334,0.9344,0.0000,0.0000,0.0483,0.0000,0.3435,-0.1429,0.0110,61,0,1.1889,0.0110,-0.0037,61,0
9122806,0.5937,0.5767,0.3334,0.9344,0.0000,0.0000,0.0509,0.0000,0.3435,0.1429,0.0256,61,0,1.1889,0.0110,-0.0037,61,0
9125661,0.5937,-0.3966,0.0900,-0.2823,0.0000,0.0000,0.0554,0.0000,0.3435,0.1429,0.0256,61,0,1.1889,0.0110,-0.0037,61,0
9127308,0.5937,-0.3966,0.0900,-0.2823,0.0000,0.0000,0.0579,0.0000,0.3435,0.1429,0.0256,61,0,1.1889,0.0110,-0.0037,61,0
9130254,0.5937,-0.3966,0.0900,-0.2823,0.0000,0.0000,0.0625,0.0000,0.3435,0.1429,0.0256,61,0,1.1889,0.0110,-0.0037,61,0
9131906,0.5937,-0.3966,0.0900,-0.2823,0.0000,0.0000,0.0651,0.0000,0.3435,0.1429,0.0256,61,0,1.1889,0.0110,-0.0037,61,0
9133548,0.5937,-0.3966,0.0900,-0.2823,0.0000,0.0000,0.0677,0.0000,0.3435,-0.0110,0.0256,61,0,1.1889,0.0110,-0.0037,61,0
9136408,1.3237,1.0634,0.3334,1.1777,0.0000,0.0000,0.0721,0.0000,0.3443,-0.0110,0.0476,61,0,1.1889,0.0110,-0.0037,61,0
9143081,1.3237,1.0634,0.3334,1.1777,0.0000,0.0000,0.0825,0.0000,0.3458,0.4286,0.0623,61,0,1.1889,0.0110,-0.0037,61,0
9148545,0.3504,0.5767,-0.1533,0.2044,0.0000,-0.0879,0.0909,0.0000,0.3470,0.2967,0.0623,61,0,1.1889,0.0110,-0.0037,61,0
9151402,0.3504,0.5767,-0.1533,0.2044,0.0000,-0.0879,0.0953,0.0000,0.3470,0.2967,0.0623,61,0,1.1889,0.0110,-0.0037,61,0
9153049,0.3504,0.5767,-0.1533,0.2044,0.0000,-0.0879,0.0979,0.0000,0.3477,0.3407,0.0769,61,0,1.1889,0.0110,-0.0037,61,0
9157209,0.3504,0.5767,-0.1533,0.2044,0.0000,-0.0879,0.1043,0.0000,0.3481,-0.1648,0.0842,61,0,1.1889,0.0110,-0.0037,61,0
9160155,0.5937,0.3334,0.3334,0.4477,0.0000,-0.0879,0.1088,0.0000,0.3489,0.1868,0.0916,61,0,1.1889,0.0110,-0.0037,61,0
9163020,0.5937,0.3334,0.3334,0.4477,0.0000,-0.0879,0.1132,0.0000,0.3489,0.2527,0.0916,61,0,1.1889,0.0110,-0.0037,61,0
9165962,0.5937,0.3334,0.3334,0.4477,0.0000,-0.0879,0.1177,0.0000,0.3489,0.0549,0.1062,61,0,1.1889,0.0110,-0.0037,61,0
9168822,0.5937,0.3334,0.3334,0.4477,0.0000,-0.0879,0.1220,0.0000,0.3492,-0.2308,0.0989,61,0,1.1889,0.0110,-0.0037,61,0
9171768,0.1071,0.0900,1.0634,-0.0389,0.0000,-0.0879,0.1265,0.0000,0.3492,-0.2308,0.0989,61,0,1.1889,0.0110,-0.0037,61,0
9173420,0.1071,0.0900,1.0634,-0.0389,0.0000,-0.0879,0.1290,0.0000,0.3492,-0.2308,0.0989,61,0,1.1889,0.0110,-0.0037,61,0
9175062,-0.1363,0.5767,0.3334,0.2044,0.0000,-0.0879,0.1315,0.0000,0.3492,-0.2527,0.1136,61,0,1.1889,0.0110,-0.0037,61,0
9180435,-0.1363,0.5767,0.3334,0.2044,0.0000,-0.0879,0.1396,0.0000,0.3492,-0.2527,0.1136,61,0,1.1889,0.0110,-0.0037,61,0
9182082,-0.1363,0.5767,0.3334,0.2044,0.0000,-0.0879,0.1421,0.0000,0.3500,0.1429,0.1209,61,0,1.1889,0.0110,-0.0037,61,0
9186246,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1484,0.0000,0.3500,0.1429,0.1209,61,0,1.1889,0.0110,-0.0037,61,0
9187889,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1508,0.0000,0.3500,0.1868,0.1282,61,0,1.1889,0.0110,-0.0037,61,0
9190835,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1552,0.0000,0.3500,0.1868,0.1282,61,0,1.1889,0.0110,-0.0037,61,0
9193661,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1595,0.0000,0.3500,0.1868,0.1282,61,0,1.1889,0.0110,-0.0037,61,0
9194904,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1613,0.0000,0.3504,0.0110,0.1355,61,0,1.1889,0.0110,-0.0037,61,0
9198288,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1663,0.0000,0.3504,0.0110,0.1355,61,0,1.1889,0.0110,-0.0037,61,0
9199936,0.1071,0.8200,-0.3966,-0.5256,0.0000,-0.0879,0.1688,0.0000,0.3519,-0.0330,0.1429,61,0,1.1889,0.0110,-0.0037,61,0
9205309,1.3237,0.5767,1.5500,1.1777,0.0000,-0.0879,0.1767,0.0000,0.3519,-0.0330,0.1429,61,0,1.1889,0.0110,-0.0037,61,0
9206956,1.3237,0.5767,1.5500,1.1777,0.0000,-0.0879,0.1791,0.0000,0.3519,-0.0330,0.1429,61,0,1.1889,0.0110,-0.0037,61,0
9208607,1.3237,0.5767,1.5500,1.1777,0.0000,-0.0879,0.1815,0.0000,0.3538,0.3626,0.1575,61,0,1.1889,0.0110,-0.0037,61,0
9212762,-0.1363,1.0634,-0.3966,0.2044,0.0000,-0.0879,0.1876,0.0000,0.3542,0.3846,0.1575,61,0,1.1889,0.0110,-0.0037,61,0
9215708,-0.1363,1.0634,-0.3966,0.2044,0.0000,-0.0879,0.1919,0.0000,0.3542,0.3846,0.1575,61,0,1.1889,0.0110,-0.0037,61,0
9217355,-0.1363,1.0634,-0.3966,0.2044,0.0000,0.0000,0.1943,0.0000,0.3542,0.3846,0.1575,61,0,1.1889,0.0110,-0.0037,61,0
9219006,-0.1363,1.0634,-0.3966,0.2044,0.0000,0.0000,0.1966,0.0000,0.3542,0.3846,0.1575,61,0,1.1889,0.0110,-0.0037,61,0
